transaction_id,Date,location_id,platform_id,game_edition_id,sales_channel_id,retailer_id,release_phase_id,special_event_id,season,units_sold,gross_revenue_usd,average_selling_price_usd,discount_percentage,online_players,story_mode_players,dlc_revenue_usd,holiday_season
GTA5-100069,30/09/2013,34,2,1,1,5,1,1,Autumn,217,2805.81,12.93,56.9,6595,4109,3896.19,0
GTA5-100029,30/09/2013,35,2,2,1,5,1,1,Autumn,2086,28786.8,13.8,54,44993,22192,38089.59,0
GTA5-100063,30/09/2013,36,1,2,1,2,1,1,Autumn,928,15636.8,16.85,43.8,22193,14542,17290.59,0
GTA5-100031,30/09/2013,37,2,1,1,5,1,1,Autumn,267,3988.98,14.94,50.2,6888,2753,2034.34,0
GTA5-100035,30/09/2013,38,1,1,1,2,1,1,Autumn,618,11507.16,18.62,37.9,28436,11706,24438.9,0
GTA5-100053,30/09/2013,39,1,4,1,3,1,1,Autumn,1073,13487.61,12.57,58.1,21750,12564,12673.78,0
GTA5-100014,30/09/2013,40,1,1,1,5,1,1,Autumn,1996,31836.2,15.95,46.8,42911,25913,28471.36,0
GTA5-100060,30/09/2013,41,2,1,1,2,1,1,Autumn,2362,36469.28,15.44,48.5,48397,38498,17327.5,0
GTA5-100033,30/09/2013,42,2,2,1,2,1,1,Autumn,244,4162.64,17.06,43.1,6355,2122,3004.26,0
GTA5-100084,30/09/2013,43,2,1,1,1,1,1,Autumn,359,5489.11,15.29,49,10337,4726,7322.57,0
GTA5-100027,30/09/2013,44,1,3,1,1,1,1,Autumn,581,9127.51,15.71,47.6,8352,5649,5902.74,0
GTA5-100025,30/09/2013,45,2,2,1,4,1,1,Autumn,548,9513.28,17.36,42.1,9610,3823,4717.39,0
GTA5-100061,30/09/2013,46,1,1,1,5,1,1,Autumn,395,6442.45,16.31,45.6,10069,6888,3206.95,0
GTA5-100067,30/09/2013,47,1,1,1,4,1,1,Autumn,283,3786.54,13.38,55.4,5839,3283,4548.23,0
GTA5-100055,30/09/2013,48,1,4,1,2,1,1,Autumn,564,7529.4,13.35,55.5,11677,4429,13159.02,0
GTA5-100030,30/09/2013,49,1,1,1,2,1,1,Autumn,295,5121.2,17.36,42.1,7477,3506,4646.92,0
GTA5-100048,30/09/2013,50,2,2,1,3,1,1,Autumn,1494,27414.9,18.35,38.8,20935,14797,12242.26,0
GTA5-100003,30/09/2013,51,2,2,1,1,1,1,Autumn,1111,13998.6,12.6,58,27551,10164,15893.57,0
GTA5-100091,30/09/2013,51,2,2,1,1,1,1,Autumn,837,14379.66,17.18,42.7,20721,14161,9583.61,0
GTA5-100049,30/09/2013,52,2,2,1,6,1,1,Autumn,442,8442.2,19.1,36.3,13870,7232,8011.76,0
GTA5-100071,30/09/2013,53,1,2,1,4,1,1,Autumn,174,1910.52,10.98,63.4,4589,2124,1763.74,0
GTA5-100070,30/09/2013,54,2,2,1,4,1,1,Autumn,117,2336.49,19.97,33.4,2339,1281,1604.11,0
GTA5-100016,30/09/2013,55,1,2,1,5,1,1,Autumn,1439,20980.62,14.58,51.4,29401,14271,20166.55,0
GTA5-100054,30/09/2013,56,1,3,1,1,1,1,Autumn,920,11205.6,12.18,59.4,17492,11419,16950.77,0
GTA5-100045,30/09/2013,57,2,2,1,1,1,1,Autumn,658,11561.06,17.57,41.4,15035,10773,11501.49,0
GTA5-100019,30/09/2013,58,2,2,1,6,1,1,Autumn,697,14839.13,21.29,29,24857,8313,15668.19,0
GTA5-100075,30/09/2013,59,2,2,1,4,1,1,Autumn,369,7291.44,19.76,34.1,8981,6465,4515.45,0
GTA5-100081,30/09/2013,60,2,2,1,6,1,1,Autumn,502,9934.58,19.79,34,8857,5951,5270.62,0
GTA5-100008,30/09/2013,61,2,1,1,4,1,1,Autumn,297,5057.91,17.03,43.2,9239,3858,2837.5,0
GTA5-100096,30/09/2013,61,2,2,1,4,1,1,Autumn,271,5322.44,19.64,34.5,5521,3722,4392.32,0
GTA5-100088,30/09/2013,62,1,2,1,2,1,1,Autumn,1135,18545.9,16.34,45.5,23780,16152,14060.68,0
GTA5-100017,30/09/2013,63,1,3,1,4,1,1,Autumn,1571,33352.33,21.23,29.2,25433,15807,12200.88,0
GTA5-100024,30/09/2013,64,2,1,1,5,1,1,Autumn,696,10189.44,14.64,51.2,16166,8609,14635.86,0
GTA5-100078,30/09/2013,65,1,3,1,2,1,1,Autumn,502,7735.82,15.41,48.6,15104,8358,7451.15,0
GTA5-100032,30/09/2013,66,2,2,1,3,1,1,Autumn,836,15315.52,18.32,38.9,13303,10627,8332.24,0
GTA5-100038,30/09/2013,67,2,1,1,4,1,1,Autumn,1804,34727,19.25,35.8,30947,13755,17856.65,0
GTA5-100086,30/09/2013,68,2,3,1,1,1,1,Autumn,728,15542.8,21.35,28.8,28626,11003,25298.04,0
GTA5-100043,30/09/2013,69,1,2,1,2,1,1,Autumn,487,8951.06,18.38,38.7,10280,7272,7633.75,0
GTA5-100047,30/09/2013,70,2,3,1,1,1,1,Autumn,1013,12946.14,12.78,57.4,18195,13011,16588.64,0
GTA5-100076,30/09/2013,71,2,4,1,4,1,1,Autumn,434,6262.62,14.43,51.9,10288,4987,4279.73,0
GTA5-100083,30/09/2013,72,1,2,1,2,1,1,Autumn,597,9289.32,15.56,48.1,10497,4092,8141.59,0
GTA5-100074,30/09/2013,73,2,3,1,3,1,1,Autumn,761,10364.82,13.62,54.6,17738,7275,20761.14,0
GTA5-100046,30/09/2013,74,1,2,1,2,1,1,Autumn,2046,37298.58,18.23,39.2,54182,29291,34517.88,0
GTA5-100015,30/09/2013,75,2,2,1,1,1,1,Autumn,2102,31887.34,15.17,49.4,31028,21520,16446.89,0
GTA5-100042,30/09/2013,76,2,2,1,5,1,1,Autumn,323,4360.5,13.5,55,4899,2888,4012.39,0
GTA5-100018,30/09/2013,77,2,2,1,3,1,1,Autumn,969,18129.99,18.71,37.6,27022,11940,25434.31,0
GTA5-100022,30/09/2013,78,2,1,1,1,1,1,Autumn,1027,18937.88,18.44,38.5,22782,14550,21992.79,0
GTA5-100068,30/09/2013,79,1,2,1,3,1,1,Autumn,1457,20543.7,14.1,53,30955,15283,26359.41,0
GTA5-100077,30/09/2013,80,2,2,1,2,1,1,Autumn,1145,14083.5,12.3,59,23700,16899,10251.28,0
GTA5-100040,30/09/2013,81,2,2,1,6,1,1,Autumn,308,3927,12.75,57.5,5152,4151,4658.76,0
GTA5-100058,30/09/2013,82,1,2,1,1,1,1,Autumn,1117,18218.27,16.31,45.6,18851,10850,15941.06,0
GTA5-100057,30/09/2013,83,1,1,1,5,1,1,Autumn,434,7234.78,16.67,44.4,10605,7899,3936.25,0
GTA5-100026,30/09/2013,84,1,2,1,6,1,1,Autumn,1044,22101.48,21.17,29.4,27022,19348,26417.81,0
GTA5-100011,30/09/2013,85,1,3,1,6,1,1,Autumn,2055,44737.35,21.77,27.4,49876,37465,27645.79,0
GTA5-100089,30/09/2013,86,1,2,1,2,1,1,Autumn,4095,69983.55,17.09,43,104410,70286,68726.24,0
GTA5-100001,30/09/2013,86,2,1,1,4,1,1,Autumn,5095,71992.35,14.13,52.9,102526,69272,61431.19,0
GTA5-100009,30/09/2013,87,1,2,1,3,1,1,Autumn,139,2659.07,19.13,36.2,4149,1492,3005.34,0
GTA5-100097,30/09/2013,87,2,4,1,1,1,1,Autumn,168,2363.76,14.07,53.1,4365,1515,1582.4,0
GTA5-100041,30/09/2013,88,1,2,1,3,1,1,Autumn,735,11987.85,16.31,45.6,23977,17696,17651.67,0
GTA5-100144,31/10/2013,1,2,2,1,6,1,2,Autumn,152,4512.88,29.69,1,10132,4663,6095.84,0
GTA5-100103,31/10/2013,2,2,2,1,1,1,2,Autumn,337,9560.69,28.37,5.4,9840,7328,3114.34,0
GTA5-100166,31/10/2013,3,1,3,1,2,1,2,Autumn,102,2853.96,27.98,6.7,5047,1715,3839.45,0
GTA5-100131,31/10/2013,4,2,2,1,6,1,2,Autumn,954,26950.5,28.25,5.8,37698,25625,16626.57,0
GTA5-100182,31/10/2013,5,1,2,1,6,1,2,Autumn,553,15257.27,27.59,8,16211,8284,16520.88,0
GTA5-100185,31/10/2013,6,1,2,1,6,1,2,Autumn,199,4857.59,24.41,18.6,6692,2708,6405.74,0
GTA5-100128,31/10/2013,7,2,2,1,3,1,2,Autumn,172,4895.12,28.46,5.1,7799,3574,4092.35,0
GTA5-100140,31/10/2013,8,2,1,1,5,1,2,Autumn,315,9012.15,28.61,4.6,11506,5757,5934.26,0
GTA5-100171,31/10/2013,9,2,2,1,3,1,2,Autumn,641,15877.57,24.77,17.4,24165,12416,10377.85,0
GTA5-100102,31/10/2013,10,2,2,1,5,1,2,Autumn,847,20014.61,23.63,21.2,25592,16951,7735.43,0
GTA5-100122,31/10/2013,11,2,3,1,2,1,2,Autumn,456,11418.24,25.04,16.5,10615,4114,7131.79,0
GTA5-100162,31/10/2013,12,2,3,1,4,1,2,Autumn,61,1344.44,22.04,26.5,2546,1428,2591.29,0
GTA5-100100,31/10/2013,13,2,2,1,6,1,2,Autumn,751,21959.24,29.24,2.5,37325,13088,40162.31,0
GTA5-100104,31/10/2013,14,2,2,1,2,1,2,Autumn,235,6490.7,27.62,7.9,8504,6882,5587.16,0
GTA5-100155,31/10/2013,15,2,3,1,4,1,2,Autumn,2035,52726.85,25.91,13.6,54422,44104,22551.98,0
GTA5-100105,31/10/2013,16,2,1,1,5,1,2,Autumn,259,7728.56,29.84,0.5,10818,7006,11791.21,0
GTA5-100183,31/10/2013,17,1,2,1,3,1,2,Autumn,253,6600.77,26.09,13,9993,3451,5892.05,0
GTA5-100154,31/10/2013,18,1,1,1,1,1,2,Autumn,181,4858.04,26.84,10.5,4264,3458,2542.41,0
GTA5-100124,31/10/2013,19,2,3,1,3,1,2,Autumn,421,12625.79,29.99,0,14550,11481,11044.29,0
GTA5-100118,31/10/2013,20,1,1,1,2,1,2,Autumn,420,12041.4,28.67,4.4,22867,10777,13389.02,0
GTA5-100108,31/10/2013,21,1,2,1,3,1,2,Autumn,71,2122.9,29.9,0.3,3082,2445,1660.95,0
GTA5-100176,31/10/2013,22,2,2,1,2,1,2,Autumn,313,8372.75,26.75,10.8,11811,8885,9452,0
GTA5-100149,31/10/2013,23,1,2,1,4,1,2,Autumn,316,9201.92,29.12,2.9,11981,5050,8175.67,0
GTA5-100146,31/10/2013,24,1,2,1,2,1,2,Autumn,114,3292.32,28.88,3.7,4379,1710,2564.15,0
GTA5-100169,31/10/2013,25,2,2,1,1,1,2,Autumn,45,1264.5,28.1,6.3,2151,1563,925.05,0
GTA5-100119,31/10/2013,26,1,3,1,1,1,2,Autumn,387,11095.29,28.67,4.4,14775,11674,14458.19,0
GTA5-100111,31/10/2013,27,1,1,1,2,1,2,Autumn,1070,30676.9,28.67,4.4,37497,29843,30346.35,0
GTA5-100134,31/10/2013,28,2,1,1,2,1,2,Autumn,161,3770.62,23.42,21.9,5612,2234,4891.33,0
GTA5-100110,31/10/2013,29,1,2,1,6,1,2,Autumn,1807,52240.37,28.91,3.6,82015,29464,48754.1,0
GTA5-100157,31/10/2013,30,2,2,1,2,1,2,Autumn,149,4419.34,29.66,1.1,7472,4121,4658.18,0
GTA5-100163,31/10/2013,31,2,1,1,4,1,2,Autumn,262,6662.66,25.43,15.2,11443,7126,8240.65,0
GTA5-100135,31/10/2013,32,2,2,1,4,1,2,Autumn,877,24670.01,28.13,6.2,24164,17869,8704.73,0
GTA5-100143,31/10/2013,33,2,3,1,5,1,2,Autumn,393,10996.14,27.98,6.7,14787,11219,9912.16,0
GTA5-100141,31/10/2013,34,2,2,1,5,1,2,Autumn,173,4788.64,27.68,7.7,8000,3230,5287.49,0
GTA5-100158,31/10/2013,35,1,1,1,3,1,2,Autumn,1446,34038.84,23.54,21.5,42934,19322,26096.87,0
GTA5-100139,31/10/2013,36,2,2,1,4,1,2,Autumn,841,23657.33,28.13,6.2,31995,12995,20007.54,0
GTA5-100138,31/10/2013,37,2,2,1,2,1,2,Autumn,192,5216.64,27.17,9.4,7387,3022,6006.84,0
GTA5-100172,31/10/2013,38,2,2,1,5,1,2,Autumn,332,9209.68,27.74,7.5,15050,10988,11569.7,0
GTA5-100152,31/10/2013,39,1,1,1,3,1,2,Autumn,506,12624.7,24.95,16.8,26596,8894,15857.63,0
GTA5-100112,31/10/2013,40,1,2,1,5,1,2,Autumn,1109,30530.77,27.53,8.2,46383,24921,21419.71,0
GTA5-100177,31/10/2013,41,1,1,1,2,1,2,Autumn,1444,41312.84,28.61,4.6,56839,34949,25341.63,0
GTA5-100125,31/10/2013,42,2,2,1,2,1,2,Autumn,215,5467.45,25.43,15.2,6348,4242,4174.97,0
GTA5-100145,31/10/2013,43,2,2,1,6,1,2,Autumn,241,6352.76,26.36,12.1,10365,4885,3152.78,0
GTA5-100167,31/10/2013,44,2,1,1,1,1,2,Autumn,281,6395.56,22.76,24.1,8490,6922,3989.66,0
GTA5-100181,31/10/2013,45,1,2,1,1,1,2,Autumn,328,8803.52,26.84,10.5,10329,6899,4644.89,0
GTA5-100186,31/10/2013,46,1,1,1,6,1,2,Autumn,204,5463.12,26.78,10.7,8139,4650,6260.17,0
GTA5-100129,31/10/2013,47,2,2,1,2,1,2,Autumn,181,4993.79,27.59,8,7503,2653,2630.95,0
GTA5-100175,31/10/2013,48,1,2,1,6,1,2,Autumn,258,6824.1,26.45,11.8,9200,3589,4526.27,0
GTA5-100153,31/10/2013,49,2,2,1,5,1,2,Autumn,273,7458.36,27.32,8.9,5847,4756,2286.66,0
GTA5-100133,31/10/2013,50,2,2,1,4,1,2,Autumn,709,20263.22,28.58,4.7,16983,7682,6781.42,0
GTA5-100101,31/10/2013,51,1,1,1,1,1,2,Autumn,668,16586.44,24.83,17.2,30009,16554,29349.41,0
GTA5-100127,31/10/2013,52,1,2,1,3,1,2,Autumn,208,5882.24,28.28,5.7,9440,6779,5837.54,0
GTA5-100136,31/10/2013,53,1,1,1,5,1,2,Autumn,130,3594.5,27.65,7.8,3020,1211,1443.59,0
GTA5-100174,31/10/2013,54,1,1,1,4,1,2,Autumn,80,2116,26.45,11.8,3313,2656,3540.15,0
GTA5-100114,31/10/2013,55,1,3,1,5,1,2,Autumn,775,19731.5,25.46,15.1,37110,18484,11460.81,0
GTA5-100126,31/10/2013,56,2,2,1,4,1,2,Autumn,459,12760.2,27.8,7.3,16944,12816,7138.49,0
GTA5-100184,31/10/2013,57,2,3,1,1,1,2,Autumn,322,7975.94,24.77,17.4,20025,10799,16913.07,0
GTA5-100117,31/10/2013,58,1,3,1,4,1,2,Autumn,527,14555.74,27.62,7.9,22867,7732,10863.55,0
GTA5-100165,31/10/2013,59,1,3,1,2,1,2,Autumn,252,5493.6,21.8,27.3,9887,3311,7699.44,0
GTA5-100168,31/10/2013,60,2,1,1,3,1,2,Autumn,284,8065.6,28.4,5.3,11907,6107,11559.51,0
GTA5-100106,31/10/2013,61,1,2,1,1,1,2,Autumn,219,6423.27,29.33,2.2,8188,6023,2992.85,0
GTA5-100161,31/10/2013,62,1,2,1,3,1,2,Autumn,905,24534.55,27.11,9.6,17423,9814,15330.62,0
GTA5-100115,31/10/2013,63,2,1,1,6,1,2,Autumn,577,16317.56,28.28,5.7,20581,13684,8119.59,0
GTA5-100170,31/10/2013,64,2,3,1,3,1,2,Autumn,399,10421.88,26.12,12.9,20414,15402,14660.51,0
GTA5-100150,31/10/2013,65,1,1,1,1,1,2,Autumn,417,11480.01,27.53,8.2,16654,8527,10742.88,0
GTA5-100179,31/10/2013,66,1,2,1,4,1,2,Autumn,500,12355,24.71,17.6,15996,11969,7309.14,0
GTA5-100130,31/10/2013,67,2,2,1,3,1,2,Autumn,918,25024.68,27.26,9.1,37319,20120,38067.96,0
GTA5-100123,31/10/2013,68,1,4,1,5,1,2,Autumn,856,23000.72,26.87,10.4,30274,15997,12569.19,0
GTA5-100164,31/10/2013,69,1,2,1,5,1,2,Autumn,261,6934.77,26.57,11.4,10972,7686,5005.24,0
GTA5-100151,31/10/2013,70,1,2,1,3,1,2,Autumn,558,15043.68,26.96,10.1,24146,16479,7153.49,0
GTA5-100142,31/10/2013,71,1,4,1,5,1,2,Autumn,218,5890.36,27.02,9.9,8774,5354,7583.44,0
GTA5-100148,31/10/2013,72,2,1,1,1,1,2,Autumn,220,6597.8,29.99,0,8260,5637,7152.39,0
GTA5-100137,31/10/2013,73,1,2,1,1,1,2,Autumn,524,12900.88,24.62,17.9,14893,10001,13006.05,0
GTA5-100156,31/10/2013,74,2,2,1,5,1,2,Autumn,1148,31983.28,27.86,7.1,39623,17636,22272.53,0
GTA5-100113,31/10/2013,75,2,2,1,1,1,2,Autumn,847,22276.1,26.3,12.3,42811,21390,17762.98,0
GTA5-100173,31/10/2013,76,2,1,1,3,1,2,Autumn,157,4077.29,25.97,13.4,5466,3154,3276.93,0
GTA5-100116,31/10/2013,77,1,2,1,2,1,2,Autumn,962,26916.76,27.98,6.7,20859,13854,10746.49,0
GTA5-100120,31/10/2013,78,1,1,1,1,1,2,Autumn,432,11154.24,25.82,13.9,21408,13833,16381.51,0
GTA5-100147,31/10/2013,79,2,1,1,3,1,2,Autumn,1009,25083.74,24.86,17.1,32227,14567,17381.69,0
GTA5-100180,31/10/2013,80,1,4,1,1,1,2,Autumn,543,16284.57,29.99,0,20855,14113,9456.14,0
GTA5-100121,31/10/2013,81,2,3,1,2,1,2,Autumn,139,3201.17,23.03,23.2,4959,3625,3592.02,0
GTA5-100178,31/10/2013,82,1,2,1,3,1,2,Autumn,643,16756.58,26.06,13.1,29196,10213,24900.96,0
GTA5-100159,31/10/2013,83,2,2,1,3,1,2,Autumn,311,8319.25,26.75,10.8,9605,7460,9338.63,0
GTA5-100160,31/10/2013,84,2,1,1,2,1,2,Autumn,574,15113.42,26.33,12.2,30313,22914,19952.11,0
GTA5-100109,31/10/2013,85,2,2,1,4,1,2,Autumn,1763,41183.68,23.36,22.1,50767,41066,13438.08,0
GTA5-100099,31/10/2013,86,1,3,1,6,1,2,Autumn,3139,75304.61,23.99,20,133195,55647,51273.44,0
GTA5-100107,31/10/2013,87,1,1,1,5,1,2,Autumn,57,1470.03,25.79,14,4041,2582,2003.2,0
GTA5-100132,31/10/2013,88,1,4,1,5,1,2,Autumn,358,9630.2,26.9,10.3,19730,9845,6831.34,0
GTA5-100227,30/11/2013,1,2,1,1,3,1,3,Autumn,642,12435.54,19.37,35.4,7825,4173,3626.63,1
GTA5-100191,30/11/2013,2,1,2,1,3,1,3,Autumn,1168,19435.52,16.64,44.5,11660,8300,4065.14,1
GTA5-100279,30/11/2013,2,1,2,1,5,1,3,Autumn,960,17702.4,18.44,38.5,11994,8958,7055.87,1
GTA5-100232,30/11/2013,3,2,4,1,3,1,3,Autumn,292,2172.48,7.44,75.2,3761,3005,2928.74,1
GTA5-100213,30/11/2013,4,2,2,1,3,1,3,Autumn,3296,51088,15.5,48.3,41354,24931,23356.52,1
GTA5-100249,30/11/2013,5,2,2,1,6,1,3,Autumn,930,23175.6,24.92,16.9,16222,7717,11420.34,1
GTA5-100222,30/11/2013,6,1,3,1,3,1,3,Autumn,488,7622.56,15.62,47.9,6454,4256,3751.29,1
GTA5-100236,30/11/2013,7,2,2,1,5,1,3,Autumn,456,5772.96,12.66,57.8,7743,4338,3222.37,1
GTA5-100237,30/11/2013,8,1,2,1,3,1,3,Autumn,730,15760.7,21.59,28,7534,5044,7601.96,1
GTA5-100220,30/11/2013,9,1,2,1,3,1,3,Autumn,1658,39377.5,23.75,20.8,23264,13101,12975.5,1
GTA5-100190,30/11/2013,10,2,1,1,4,1,3,Autumn,2123,32715.43,15.41,48.6,33592,15384,12466.08,1
GTA5-100278,30/11/2013,10,2,2,1,3,1,3,Autumn,2202,40142.46,18.23,39.2,31333,11947,36176.12,1
GTA5-100246,30/11/2013,11,1,2,1,3,1,3,Autumn,721,11499.95,15.95,46.8,12555,7710,12528.44,1
GTA5-100267,30/11/2013,12,2,2,1,6,1,3,Autumn,132,2030.16,15.38,48.7,2016,1229,977.37,1
GTA5-100188,30/11/2013,13,1,4,1,2,1,3,Autumn,2221,30383.28,13.68,54.4,39421,14802,13981.24,1
GTA5-100276,30/11/2013,13,2,2,1,6,1,3,Autumn,2386,31924.68,13.38,55.4,41779,15212,35467.72,1
GTA5-100192,30/11/2013,14,1,2,1,6,1,3,Autumn,673,9509.49,14.13,52.9,8209,4699,6477.86,1
GTA5-100280,30/11/2013,14,1,1,1,3,1,3,Autumn,650,6708,10.32,65.6,6691,4153,5474.26,1
GTA5-100265,30/11/2013,15,1,2,1,2,1,3,Autumn,7098,72186.66,10.17,66.1,76305,29626,44275.12,1
GTA5-100193,30/11/2013,16,1,2,1,3,1,3,Autumn,1037,17286.79,16.67,44.4,13525,5516,10106.28,1
GTA5-100281,30/11/2013,16,1,3,1,3,1,3,Autumn,767,11481.99,14.97,50.1,13176,5055,6414.96,1
GTA5-100254,30/11/2013,17,1,2,1,1,1,3,Autumn,609,9275.07,15.23,49.2,10037,4973,7119.7,1
GTA5-100251,30/11/2013,18,2,2,1,1,1,3,Autumn,356,5411.2,15.2,49.3,4122,3175,2413.16,1
GTA5-100226,30/11/2013,19,2,2,1,2,1,3,Autumn,1400,23590,16.85,43.8,23067,9202,7488.43,1
GTA5-100206,30/11/2013,20,2,2,1,3,1,3,Autumn,917,20265.7,22.1,26.3,22153,7830,20971.66,1
GTA5-100196,30/11/2013,21,1,2,1,6,1,3,Autumn,231,4287.36,18.56,38.1,3999,1390,3295.46,1
GTA5-100284,30/11/2013,21,1,3,1,1,1,3,Autumn,435,6990.45,16.07,46.4,3214,1416,1809.7,1
GTA5-100273,30/11/2013,22,2,1,1,1,1,3,Autumn,1113,18353.37,16.49,45,14028,11439,9729.09,1
GTA5-100228,30/11/2013,23,1,1,1,3,1,3,Autumn,795,14612.1,18.38,38.7,11208,3929,7424.9,1
GTA5-100230,30/11/2013,24,1,2,1,5,1,3,Autumn,407,7212.04,17.72,40.9,4698,2205,2615.36,1
GTA5-100268,30/11/2013,25,1,1,1,6,1,3,Autumn,126,1848.42,14.67,51.1,2313,1344,1815.94,1
GTA5-100207,30/11/2013,26,2,1,1,4,1,3,Autumn,862,17343.44,20.12,32.9,16155,11747,5378.3,1
GTA5-100199,30/11/2013,27,1,2,1,2,1,3,Autumn,4123,32777.85,7.95,73.5,51743,26776,51077.53,1
GTA5-100247,30/11/2013,28,1,2,1,3,1,3,Autumn,397,5014.11,12.63,57.9,6886,4137,2760.79,1
GTA5-100198,30/11/2013,29,1,2,1,2,1,3,Autumn,3847,72439.01,18.83,37.2,76424,36644,40519.94,1
GTA5-100286,30/11/2013,29,1,2,1,1,1,3,Autumn,3809,58468.15,15.35,48.8,65702,46085,33421.75,1
